#      theta/pi                     QFI                     CFI

9.819999999999999563e-02 8.459817353148455732e+04 8.339596679827936168e+04
9.829999999999999849e-02 8.113259546325380506e+04 7.948563917219823634e+04
9.840000000000000135e-02 7.689231020299227384e+04 7.490300783695399878e+04
9.850000000000000422e-02 7.209323349903630151e+04 6.986915385289648839e+04
9.859999999999999321e-02 6.695268057411500195e+04 6.459717115191331686e+04
9.869999999999999607e-02 6.167221587334209471e+04 5.927731671879418718e+04
9.879999999999999893e-02 5.642557589971941343e+04 5.406766038832838967e+04
9.890000000000000180e-02 5.135209864542879222e+04 4.909009821297111193e+04
9.900000000000000466e-02 4.655502829290936643e+04 4.443073349185151892e+04
9.909999999999999365e-02 4.210352538927256683e+04 4.014330553079546371e+04
9.919999999999999651e-02 3.803704233978679258e+04 3.625434528832105570e+04
9.929999999999999938e-02 3.437082137304682692e+04 3.276893690151048941e+04
9.940000000000000224e-02 3.110160484010776054e+04 2.967632808481403481e+04
9.950000000000001898e-02 2.821292960380874138e+04 2.695490948591563574e+04
9.959999999999999409e-02 2.567965279337623724e+04 2.457632963346615361e+04
9.970000000000001084e-02 2.347160777663143381e+04 2.250872367319589830e+04
9.979999999999998594e-02 2.155638451668792550e+04 2.071910151607639636e+04
9.989999999999998881e-02 1.990133931022840625e+04 1.917502371190777922e+04
1.000000000000000056e-01 1.847496898068515657e+04 1.784570683789173927e+04
1.000999999999999807e-01 1.724777334899214839e+04 1.670268064600657090e+04
1.001999999999999974e-01 1.619274469656464498e+04 1.572012613084462646e+04
1.003000000000000003e-01 1.528557600423249278e+04 1.487497800448421185e+04
1.004000000000000031e-01 1.450468725756675485e+04 1.414687948119615976e+04
1.005000000000000060e-01 1.383112579223634384e+04 1.351803778264874018e+04
1.005999999999999950e-01 1.324839191197536638e+04 1.297302402536773116e+04
1.006999999999999978e-01 1.274222596421285925e+04 1.249854786538995359e+04
1.008000000000000007e-01 1.230037903614060633e+04 1.208322487380433995e+04
1.009000000000000036e-01 1.191238372956382045e+04 1.171734984742504457e+04
1.010000000000000064e-01 1.156933611907726663e+04 1.139268469833781091e+04
1.010999999999999954e-01 1.126369162452798082e+04 1.110226240517824408e+04
1.011999999999999983e-01 1.098908131950075040e+04 1.084021201018131796e+04
1.013000000000000012e-01 1.074014708626075662e+04 1.060160267631756869e+04
1.014000000000000040e-01 1.051239560803274253e+04 1.038230627590323820e+04
1.014999999999999930e-01 1.030207196829419809e+04 1.017887886536226142e+04
1.015999999999999959e-01 1.010604803557431296e+04 9.988456425856080386e+03
1.016999999999999987e-01 9.921727684871610109e+03 9.808666498998822135e+03
1.018000000000000016e-01 9.746964351315824388e+03 9.637551505003875718e+03
1.019000000000000183e-01 9.579991133722440281e+03 9.473503827824160908e+03
1.019999999999999934e-01 9.419360234324962221e+03 9.315209666279146404e+03
1.021000000000000102e-01 9.263892393637177520e+03 9.161602178371575064e+03
1.021999999999999853e-01 9.112632865999243222e+03 9.011820753594758571e+03
1.022999999999999882e-01 8.964815155045638676e+03 8.865177463378036919e+03
1.024000000000000049e-01 8.819829203669889466e+03 8.721127675092611753e+03
1.024999999999999800e-01 8.677195440640383822e+03 8.579246080095308571e+03
1.025999999999999968e-01 8.536541854581624648e+03 8.439205537650159386e+03
1.026999999999999996e-01 8.397585889157800921e+03 8.300760371392370871e+03
1.028000000000000025e-01 8.260117666262282000e+03 8.163730913147021056e+03
1.028999999999999915e-01 8.123987312233961347e+03 8.027991819648353157e+03
1.029999999999999943e-01 7.989093188310554979e+03 7.893461251694596285e+03
1.030999999999999972e-01 7.855372712138086172e+03 7.760092422433320280e+03
1.032000000000000001e-01 7.722794317863655124e+03 7.627866220522167168e+03
1.033000000000000029e-01 7.591350715598928218e+03 7.496785025524351113e+03
1.033999999999999919e-01 7.461053604134954185e+03 7.366867864480993376e+03
1.034999999999999948e-01 7.331928803713811249e+03 7.238145958617610631e+03
1.035999999999999976e-01 7.204012627552850972e+03 7.110659419583677845e+03
