#      theta/pi                     QFI                     CFI

8.700000000000000788e-02 1.463240122379230002e+02 1.181615965961212567e+02
8.799999999999998102e-02 1.453115288607275204e+02 1.161312184629259576e+02
8.899999999999999578e-02 1.445506842434891439e+02 1.141666002493777654e+02
8.999999999999999667e-02 1.440928008843930570e+02 1.122821999075949861e+02
9.099999999999999756e-02 1.439984515239033556e+02 1.104964708697124678e+02
9.199999999999999845e-02 1.443392156042764896e+02 1.088351386020085840e+02
9.299999999999999933e-02 1.451997891982082933e+02 1.073368510488505905e+02
9.400000000000000022e-02 1.466805130613065273e+02 1.060622195923014459e+02
9.499999999999998723e-02 1.489003915887083167e+02 1.051068914389662865e+02
9.600000000000000200e-02 1.520006823828371409e+02 1.046177834085168570e+02
9.700000000000001676e-02 1.561491401264474348e+02 1.048081133560999803e+02
9.800000000000000377e-02 1.615449965714075802e+02 1.059615074489060760e+02
9.900000000000000466e-02 1.684247462796053867e+02 1.084107467343659721e+02
1.000000000000000056e-01 1.770687783187746902e+02 1.124780588245272526e+02
1.010000000000000064e-01 1.878088371824669593e+02 1.183743355029232873e+02
1.019999999999999934e-01 2.010361967958660330e+02 1.260655737708208193e+02
1.030000000000000082e-01 2.172102685080123479e+02 1.351046543365671369e+02
1.040000000000000230e-01 2.368671088358013606e+02 1.443832485214232122e+02
1.049999999999999961e-01 2.606269085563582735e+02 1.517154993668492580e+02
1.059999999999999970e-01 2.891989877015534489e+02 1.533377718154585523e+02
1.070000000000000118e-01 3.233820459735221107e+02 1.449837809131784923e+02
1.079999999999999988e-01 3.640563926718136258e+02 1.330310229651022951e+02
1.089999999999999997e-01 4.121636133044201529e+02 1.617287366038468974e+02
1.100000000000000006e-01 4.686677222994261456e+02 2.698670041211435091e+02
1.110000000000000014e-01 5.344905743478931299e+02 4.063982289941765771e+02
1.120000000000000023e-01 6.104137097255926392e+02 5.290743709161033621e+02
1.130000000000000032e-01 6.969398255491674945e+02 6.365483132818097829e+02
1.140000000000000180e-01 7.941110522850739244e+02 7.325663839759251914e+02
1.150000000000000050e-01 9.012897756642452123e+02 8.140932599850934821e+02
1.160000000000000059e-01 1.016922121362767371e+03 8.745008267013788554e+02
1.170000000000000068e-01 1.138324074634824683e+03 9.413476237954951102e+02
1.180000000000000077e-01 1.261551875074816735e+03 1.109413276041532299e+03
1.190000000000000085e-01 1.381433338255949138e+03 1.324923563020765187e+03
1.199999999999999956e-01 1.491832359319874058e+03 1.487291454879399225e+03
1.209999999999999964e-01 1.586182643972402957e+03 1.595176839200401673e+03
1.219999999999999973e-01 1.658255766122253817e+03 1.659311110906592148e+03
1.229999999999999982e-01 1.703039064490975761e+03 1.683092263796380848e+03
1.239999999999999852e-01 1.717526922939275892e+03 1.666577703694995535e+03
1.250000000000000000e-01 1.701216378280062600e+03 1.610054146927315287e+03
1.260000000000000009e-01 1.656165534333926416e+03 1.526200058815661123e+03
1.270000000000000018e-01 1.586600895234788368e+03 1.456947174743000232e+03
1.280000000000000027e-01 1.498192727158021853e+03 1.391963768734333371e+03
1.290000000000000036e-01 1.397198218801525400e+03 1.301607632473176182e+03
1.300000000000000044e-01 1.289673776048517311e+03 1.196419924678523557e+03
1.310000000000000053e-01 1.180895042348894549e+03 1.088020112775496273e+03
1.320000000000000062e-01 1.075035807263461720e+03 9.827926614653910065e+02
1.330000000000000071e-01 9.750827477481499272e+02 8.840693097985072200e+02
1.340000000000000080e-01 8.829212439487231450e+02 7.933378281995799171e+02
1.350000000000000089e-01 7.995180674761132877e+02 7.109305681042093283e+02
1.360000000000000098e-01 7.251384104076303174e+02 6.378364905148134767e+02
1.370000000000000107e-01 6.595548246065798139e+02 5.784750833076959680e+02
1.380000000000000115e-01 6.022251923396321445e+02 5.300173115461867610e+02
1.390000000000000124e-01 5.524315921892230108e+02 4.866330638081313396e+02
1.400000000000000133e-01 5.093810800499658740e+02 4.481362627677392538e+02
1.410000000000000142e-01 4.722739705377603059e+02 4.146373493775895440e+02
1.420000000000000151e-01 4.403466821131593179e+02 3.857513266211995528e+02
1.430000000000000160e-01 4.128959401704051970e+02 3.609245611630506119e+02
1.440000000000000169e-01 3.892900703671913334e+02 3.395871542739963047e+02
1.449999999999999900e-01 3.689718380602672028e+02 3.211989224900684121e+02
1.459999999999999909e-01 3.514560976396548995e+02 3.052685194925258543e+02
1.469999999999999918e-01 3.363245291681416802e+02 2.914980003155855002e+02
1.479999999999999927e-01 3.232189822423797523e+02 2.800726569585052061e+02
1.489999999999999936e-01 3.118343952547473350e+02 2.705640969806495946e+02
