#     theta/pi                    M=1000                   M=10000                 M=25000

6.452000000000001068e-01 1.622272939865326141e-02 3.321112907103893394e-10 1.136703053234272493e-19
6.453000000000000957e-01 1.677061513400695744e-02 8.847423821803923023e-10 1.104381882416920365e-18
6.453999999999999737e-01 1.729395877901937148e-02 2.300512802925059966e-09 1.009744447956033097e-17
6.454999999999999627e-01 1.778914202651844800e-02 5.837888894049295813e-09 8.685506901307110538e-17
6.456000000000000627e-01 1.825263216722207080e-02 1.445635127610122350e-08 7.026531214670182175e-16
6.457000000000000517e-01 1.868102236490417137e-02 3.492860442653721228e-08 5.344641679881292707e-15
6.458000000000000407e-01 1.907107188378186560e-02 8.233245236000845537e-08 3.821173573583225411e-14
6.459000000000001407e-01 1.941974563246337201e-02 1.893107917754732247e-07 2.567103054686490999e-13
6.460000000000000187e-01 1.972425237528373926e-02 4.245619220315440581e-07 1.620037494901270823e-12
6.461000000000000076e-01 1.998208095992089900e-02 9.285697275036238454e-07 9.600811736099452316e-12
6.461999999999999966e-01 2.019103392338029296e-02 1.980349714250028922e-06 5.341422114833465443e-11
6.462999999999999856e-01 2.034925786420676425e-02 4.117834009164154779e-06 2.788918781882962064e-10
6.464000000000000856e-01 2.045527000976215051e-02 8.347196858341515775e-06 1.366179722124513857e-09
6.465000000000000746e-01 2.050798046047526760e-02 1.649309844619655758e-05 6.276749495555244352e-09
6.465999999999999526e-01 2.050670965989010233e-02 3.176128948440902190e-05 2.703819825893224514e-08
6.466999999999999416e-01 2.045120071661652925e-02 5.960358520340290595e-05 1.091683343406023598e-07
6.468000000000000416e-01 2.034162629220288496e-02 1.089855005165781356e-04 4.130005083500907829e-07
6.469000000000000306e-01 2.017858986448427261e-02 1.941468891889419808e-04 1.463515810096781574e-06
6.470000000000000195e-01 1.996312127772459366e-02 3.368995300477033617e-04 4.856172636712040069e-06
6.471000000000001195e-01 1.969666659579954668e-02 5.694047664301775955e-04 1.508330752700044634e-05
6.471999999999999975e-01 1.938107238180901068e-02 9.372049364211297324e-04 4.383890350095271310e-05
6.472999999999999865e-01 1.901856463166555836e-02 1.502043273706577149e-03 1.191892860727889386e-04
6.473999999999999755e-01 1.861172269128565787e-02 2.343721152147056671e-03 3.030274298957833976e-04
6.474999999999999645e-01 1.816344858128586537e-02 3.559965871427444098e-03 7.201874327200939773e-04
6.476000000000000645e-01 1.767693223921716975e-02 5.263110436726888691e-03 1.599479269802812258e-03
6.477000000000000535e-01 1.715561326497112155e-02 7.572439381639878807e-03 3.318415008258222571e-03
6.478000000000000425e-01 1.660313981707854658e-02 1.060145040738311520e-02 6.429100602811921999e-03
6.478999999999999204e-01 1.602332535641007999e-02 1.444009231428621323e-02 1.162745098556967199e-02
6.480000000000000204e-01 1.542010396652120259e-02 1.913323729665279346e-02 1.962365098130293764e-02
6.481000000000000094e-01 1.479748499715930268e-02 2.465806004964570669e-02 3.089450278991828433e-02
6.481999999999999984e-01 1.415950777792222837e-02 3.090430771176234936e-02 4.535578590194099674e-02
6.483000000000000984e-01 1.351019713373350500e-02 3.766223167308224012e-02 6.206933861043475303e-02
6.484000000000000874e-01 1.285352040286431158e-02 4.462279760694477793e-02 7.915095837460725536e-02
6.484999999999999654e-01 1.219334661238927545e-02 5.139342804570996848e-02 9.401787451722713740e-02
6.485999999999999543e-01 1.153340840771123130e-02 5.752998999766559957e-02 1.039870509642230184e-01
6.486999999999999433e-01 1.087726726233142864e-02 6.258241714387928478e-02 1.070535068627676972e-01
6.488000000000000433e-01 1.022828241469754713e-02 6.614798560178802855e-02 1.025445020959818709e-01
6.489000000000000323e-01 9.589583892184495167e-03 6.792374562123448811e-02 9.135862672731989709e-02
6.490000000000000213e-01 8.964049890701684259e-03 6.774875574949737467e-02 7.567407161845966790e-02
6.490999999999998993e-01 8.354288684213274224e-03 6.562800622218604996e-02 5.825570304717388875e-02
6.491999999999999993e-01 7.762625144562961856e-03 6.173313035644309443e-02 4.166350817480526936e-02
6.492999999999999883e-01 7.191091859912933544e-03 5.637948607571666854e-02 2.767134539016162173e-02
6.493999999999999773e-01 6.641424752799997624e-03 4.998384699869089925e-02 1.706049157017187901e-02
6.495000000000000773e-01 6.115063017725546300e-03 4.301060269924405349e-02 9.760412269845357425e-03
6.496000000000000663e-01 5.613153125177201136e-03 3.591614304500706512e-02 5.179494984848670262e-03
6.496999999999999442e-01 5.136556575597239598e-03 2.910065048683284014e-02 2.548445307253891477e-03
6.497999999999999332e-01 4.685861033768722560e-03 2.287412857139370023e-02 1.162135060872293438e-03
6.499000000000000332e-01 4.261394432567617088e-03 1.743993168869473545e-02 4.909697468077368074e-04
6.500000000000000222e-01 3.863241604895353322e-03 1.289532668790483935e-02 1.920842984031140397e-04
